,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
477693,Kuwait,GDP at market prices (current US$),NY.GDP.MKTP.CD,120567543323.86,115030074380.26,43023573113.51,B
481358,Kyrgyz Republic,GDP at market prices (current US$),NY.GDP.MKTP.CD,4522898773.69,4742210025.10,1917732867.82,D
485023,Lao PDR,GDP at market prices (current US$),NY.GDP.MKTP.CD,6094210521.51,5638415253.80,3300441319.78,C
488688,Latvia,GDP at market prices (current US$),NY.GDP.MKTP.CD,24938983495.26,27144925049.14,7939600704.74,C
492353,Lebanon,GDP at market prices (current US$),NY.GDP.MKTP.CD,31800395455.58,32352234320.13,10297226536.58,B
496018,Lesotho,GDP at market prices (current US$),NY.GDP.MKTP.CD,2030572620.42,1868342907.77,571876963.77,D
499683,Liberia,GDP at market prices (current US$),NY.GDP.MKTP.CD,1094740570.00,1002593950.00,519180564.72,D
503348,Libya,GDP at market prices (current US$),NY.GDP.MKTP.CD,58465511877.07,58995128682.32,18125727371.57,B
507013,Liechtenstein,GDP at market prices (current US$),NY.GDP.MKTP.CD,4700081484.04,4841366245.41,1122417921.19,D
510678,Lithuania,GDP at market prices (current US$),NY.GDP.MKTP.CD,36282919495.99,38589426777.26,11048998522.98,B
514343,Luxembourg,GDP at market prices (current US$),NY.GDP.MKTP.CD,49076800275.42,52291510009.37,12313497330.23,B
518008,"Macao SAR, China",GDP at market prices (current US$),NY.GDP.MKTP.CD,25375294346.40,21196482814.52,14352936220.29,C
521673,"Macedonia, FYR",GDP at market prices (current US$),NY.GDP.MKTP.CD,8500519718.14,9404450099.07,2226258305.77,C
525338,Madagascar,GDP at market prices (current US$),NY.GDP.MKTP.CD,7888325073.97,8640150055.27,2335860205.05,C
529003,Malawi,GDP at market prices (current US$),NY.GDP.MKTP.CD,5185174859.81,5419913536.85,1798265470.85,C
532668,Malaysia,GDP at market prices (current US$),NY.GDP.MKTP.CD,221732269168.55,216535592102.54,76775413995.41,B
536333,Maldives,GDP at market prices (current US$),NY.GDP.MKTP.CD,2139193426.47,2308470533.41,829818247.14,D
539998,Mali,GDP at market prices (current US$),NY.GDP.MKTP.CD,9352251691.22,9965922140.96,3308723828.94,C
543663,Malta,GDP at market prices (current US$),NY.GDP.MKTP.CD,8043955567.62,8634630940.53,1759478198.52,C
547328,Marshall Islands,GDP at market prices (current US$),NY.GDP.MKTP.CD,156321970.00,152703100.00,23555100.98,D
550993,Mauritania,GDP at market prices (current US$),NY.GDP.MKTP.CD,3799763026.52,3824470584.33,1400288741.87,D
554658,Mauritius,GDP at market prices (current US$),NY.GDP.MKTP.CD,9048490550.71,9559606562.73,2510855268.19,C
558323,Mexico,GDP at market prices (current US$),NY.GDP.MKTP.CD,1022586650219.14,1047299962341.43,174037270089.01,A
561988,"Micronesia, Fed. Sts.",GDP at market prices (current US$),NY.GDP.MKTP.CD,278532810.00,271417650.00,32041758.03,D
