,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
58636,Middle East & North Africa,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,92.12,92.68,1.75,C
62301,Middle East & North Africa (excluding high income),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,91.28,91.86,1.83,C
65966,Middle income,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,91.54,91.96,1.32,C
69631,North America,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
73296,OECD members,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
76961,South Asia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,82.40,83.48,3.40,C
80626,Sub-Saharan Africa,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,71.09,71.41,1.04,D
84291,Sub-Saharan Africa (excluding high income),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,71.08,71.41,1.04,D
87956,Upper middle income,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.53,98.63,0.31,B
91621,World,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,90.28,90.62,1.06,C
95286,Afghanistan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,46.99,46.99,,D
98951,Albania,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.95,98.83,0.24,B
102616,Algeria,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,92.77,92.77,1.41,C
106281,American Samoa,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
109946,Andorra,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
113611,Angola,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
117276,Antigua and Barbuda,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
120941,Argentina,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
124606,Armenia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.85,99.85,,A
